density_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_density,RQD_borehole_direct,RQD_face_scanline,24,24.905512358114454,98.89676410614554,-73.99125174803106,76.00874825196894,86.63161691297418,100.0,-0.8846258431378592,0.25,0.75,0.0
mid_density,RQD_borehole_direct,RQD_face_scanline,25,99.16500161589997,86.08018728664712,13.084814329252843,13.084814329252843,14.608532979348286,13.449412579204875,0.2722722402558444,1.0,0.0,0.0
high_density,RQD_borehole_direct,RQD_face_scanline,23,97.77020597746723,57.86975646701349,39.90044951045377,39.90044951045377,41.361006390409166,43.73482038081411,0.598809448006868,1.0,0.0,0.0
low_density,RQD_borehole_hudson,RQD_face_scanline,24,24.933887007665685,98.89676410614554,-73.96287709847985,76.03712290152015,86.63248105548503,100.0,-0.8843187317787029,0.25,0.75,0.0
mid_density,RQD_borehole_hudson,RQD_face_scanline,25,99.48380612385756,86.08018728664712,13.403618837210438,13.403618837210438,14.890920552926024,14.222685690830133,0.5231985111838763,1.0,0.0,0.0
high_density,RQD_borehole_hudson,RQD_face_scanline,23,98.18848770147947,57.86975646701349,40.31873123446601,40.31873123446601,41.818901661613026,44.65066444738087,0.6230797643767282,1.0,0.0,0.0
low_density,RQD_borehole_direct,RQD_face_jv,24,24.905512358114454,82.0,-57.09448764188554,57.65551235811446,68.6087969287729,65.5,0.47139948380816965,0.25,0.75,0.0
mid_density,RQD_borehole_direct,RQD_face_jv,25,99.16500161589997,89.92,9.245001615899966,9.404246617372301,12.268267837136317,14.999074495587436,0.2412445143120675,0.92,0.08,0.0
high_density,RQD_borehole_direct,RQD_face_jv,23,97.77020597746723,56.17391304347826,41.596292933989,41.596292933989,43.506609242625416,47.778891813076896,0.5802585291406526,1.0,0.0,0.0
low_density,RQD_borehole_hudson,RQD_face_jv,24,24.933887007665685,82.0,-57.06611299233432,57.68388700766568,68.60910919731042,65.5,0.4714025341679513,0.25,0.75,0.0
mid_density,RQD_borehole_hudson,RQD_face_jv,25,99.48380612385756,89.92,9.563806123857562,9.563806123857562,12.483402629844132,16.612828224192967,0.5547556748621985,1.0,0.0,0.0
high_density,RQD_borehole_hudson,RQD_face_jv,23,98.18848770147947,56.17391304347826,42.014574658001244,42.014574658001244,43.95117551160096,48.35670228085192,0.6462188125497503,1.0,0.0,0.0
