orientation_gap_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_gap,RQD_borehole_direct,RQD_face_scanline,24,41.33723526664976,91.89222281439174,-50.55498754774197,66.11167911892468,77.97265777459134,100.0,-0.6754537374443799,0.4166666666666667,0.5833333333333334,0.0
mid_gap,RQD_borehole_direct,RQD_face_scanline,24,97.88799673976588,67.35973886326944,30.52825787649645,30.52825787649645,34.250840475138205,26.378641036341115,0.808167002272116,1.0,0.0,0.0
high_gap,RQD_borehole_direct,RQD_face_scanline,24,82.67360443000074,84.77018079962968,-2.0965763696289628,31.23675696370437,45.977551226620015,16.909745295054293,-0.4301126599504798,0.8333333333333334,0.16666666666666666,0.0
low_gap,RQD_borehole_hudson,RQD_face_scanline,24,41.30275576884329,91.89222281439174,-50.58946704554845,66.07719962111821,77.93047037688757,100.0,-0.6716555381173819,0.4166666666666667,0.5833333333333334,0.0
mid_gap,RQD_borehole_hudson,RQD_face_scanline,24,98.57294073575231,67.35973886326944,31.213201872482852,31.213201872482852,35.054486292158195,27.226779195749202,0.8724161893349996,1.0,0.0,0.0
high_gap,RQD_borehole_hudson,RQD_face_scanline,24,82.78445592933959,84.77018079962968,-1.985724870290112,31.34760846304322,45.93629530850169,17.77490389983096,-0.42341087582025855,0.8333333333333334,0.16666666666666666,0.0
low_gap,RQD_borehole_direct,RQD_face_jv,24,41.33723526664976,81.3125,-39.97526473335024,53.05084616527245,64.71556595347955,49.0,0.10229802916766566,0.375,0.625,0.0
mid_gap,RQD_borehole_direct,RQD_face_jv,24,97.88799673976588,66.875,31.012996739765892,31.012996739765892,35.41507963208737,31.814762763629247,0.829550250495507,1.0,0.0,0.0
high_gap,RQD_borehole_direct,RQD_face_jv,24,82.67360443000074,81.3125,1.3611044300007287,23.250873741245055,35.15072792511476,16.21582967312157,0.3601707416414733,0.7916666666666666,0.20833333333333334,0.0
low_gap,RQD_borehole_hudson,RQD_face_jv,24,41.30275576884329,81.3125,-40.009744231156716,52.906922435509955,64.63655109579895,49.0,0.1069763574264044,0.4166666666666667,0.5833333333333334,0.0
mid_gap,RQD_borehole_hudson,RQD_face_jv,24,98.57294073575231,66.875,31.697940735752294,31.697940735752294,36.23945731517353,32.752766218413804,0.8719096328294305,1.0,0.0,0.0
high_gap,RQD_borehole_hudson,RQD_face_jv,24,82.78445592933959,81.3125,1.4719559293395814,23.305289262672915,35.06528806682385,16.883998043663382,0.36649636548249737,0.8333333333333334,0.16666666666666666,0.0
