predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_scanline,50.0,72,0.9166666666666666,48,6,18,0,0.6666666666666666,0.36363636363636365,1.0,0.2727272727272727,1.0833333333333333
RQD_borehole_direct,RQD_face_scanline,75.0,72,0.6944444444444444,32,22,18,0,0.4444444444444444,0.32,1.0,0.36,3.3055555555555554
RQD_borehole_direct,RQD_face_scanline,90.0,72,0.4861111111111111,17,37,18,0,0.2361111111111111,0.24285714285714285,1.0,0.5142857142857142,5.388888888888889
RQD_borehole_direct,RQD_face_jv,50.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,75.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,90.0,72,0.3333333333333333,18,36,6,12,0.4166666666666667,0.5,0.75,0.25,5.083333333333333
RQD_borehole_direct,RQD_face_conservative,50.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_conservative,75.0,72,0.6111111111111112,32,22,12,6,0.5277777777777778,0.4707792207792208,0.7857142857142857,0.2727272727272727,3.2222222222222223
RQD_borehole_direct,RQD_face_conservative,90.0,72,0.3194444444444444,17,37,6,12,0.4027777777777778,0.4920141969831411,0.7551020408163265,0.2608695652173913,5.222222222222222
RQD_borehole_hudson,RQD_face_scanline,50.0,72,0.9166666666666666,48,6,18,0,0.6666666666666666,0.36363636363636365,1.0,0.2727272727272727,1.0833333333333333
RQD_borehole_hudson,RQD_face_scanline,75.0,72,0.6944444444444444,32,22,18,0,0.4444444444444444,0.32,1.0,0.36,3.3055555555555554
RQD_borehole_hudson,RQD_face_scanline,90.0,72,0.4861111111111111,17,37,18,0,0.2361111111111111,0.24285714285714285,1.0,0.5142857142857142,5.388888888888889
RQD_borehole_hudson,RQD_face_jv,50.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_hudson,RQD_face_jv,75.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_hudson,RQD_face_jv,90.0,72,0.3333333333333333,18,36,6,12,0.4166666666666667,0.5,0.75,0.25,5.083333333333333
RQD_borehole_hudson,RQD_face_conservative,50.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_hudson,RQD_face_conservative,75.0,72,0.6111111111111112,32,22,12,6,0.5277777777777778,0.4707792207792208,0.7857142857142857,0.2727272727272727,3.2222222222222223
RQD_borehole_hudson,RQD_face_conservative,90.0,72,0.3194444444444444,17,37,6,12,0.4027777777777778,0.4920141969831411,0.7551020408163265,0.2608695652173913,5.222222222222222
