predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_scanline,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,35.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,40.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,45.0,72,0.9722222222222222,52,2,18,0,0.7222222222222222,0.37142857142857144,1.0,0.2571428571428571,0.5277777777777778
RQD_borehole_direct,RQD_face_scanline,50.0,72,0.9166666666666666,48,6,18,0,0.6666666666666666,0.36363636363636365,1.0,0.2727272727272727,1.0833333333333333
RQD_borehole_direct,RQD_face_scanline,55.0,72,0.8055555555555556,40,14,18,0,0.5555555555555556,0.3448275862068966,1.0,0.3103448275862069,2.1944444444444446
RQD_borehole_direct,RQD_face_scanline,60.0,72,0.7777777777777778,38,16,18,0,0.5277777777777778,0.3392857142857143,1.0,0.32142857142857145,2.4722222222222223
RQD_borehole_direct,RQD_face_scanline,65.0,72,0.7638888888888888,37,17,18,0,0.5138888888888888,0.33636363636363636,1.0,0.32727272727272727,2.611111111111111
RQD_borehole_direct,RQD_face_scanline,70.0,72,0.75,36,18,18,0,0.5,0.3333333333333333,1.0,0.3333333333333333,2.75
RQD_borehole_direct,RQD_face_scanline,75.0,72,0.6944444444444444,32,22,18,0,0.4444444444444444,0.32,1.0,0.36,3.3055555555555554
RQD_borehole_direct,RQD_face_scanline,80.0,72,0.625,27,27,18,0,0.375,0.3,1.0,0.4,4.0
RQD_borehole_direct,RQD_face_scanline,85.0,72,0.5138888888888888,19,35,18,0,0.2638888888888889,0.25675675675675674,1.0,0.4864864864864865,5.111111111111111
RQD_borehole_direct,RQD_face_scanline,90.0,72,0.4861111111111111,17,37,18,0,0.2361111111111111,0.24285714285714285,1.0,0.5142857142857142,5.388888888888889
RQD_borehole_direct,RQD_face_scanline,95.0,72,0.3194444444444444,5,48,18,1,0.08333333333333333,0.1188997338065661,0.9795918367346939,0.782608695652174,6.916666666666667
RQD_borehole_direct,RQD_face_scanline,100.0,72,0.25,0,20,18,34,0.4722222222222222,0.3148148148148148,0.37037037037037035,1.0,3.0277777777777777
RQD_borehole_direct,RQD_face_jv,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,35.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,40.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,45.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,50.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,55.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,60.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,65.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,70.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,75.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
RQD_borehole_direct,RQD_face_jv,80.0,72,0.6666666666666666,36,18,12,6,0.5833333333333334,0.5,0.75,0.25,2.6666666666666665
