density_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_density,RQD_borehole_direct,RQD_face_scanline,24,22.6719967119467,99.9585357100746,-77.28653899812788,77.28653899812788,86.74199418400386,100.0,-0.37076072627635637,0.0,1.0,0.0
mid_density,RQD_borehole_direct,RQD_face_scanline,25,86.37739338086158,99.69397449002864,-13.316581109167073,13.316581109167073,15.158109583485286,11.428692382850684,0.1837880308165064,0.0,1.0,0.0
high_density,RQD_borehole_direct,RQD_face_scanline,23,55.19945033219089,98.74678444084147,-43.547334108650574,43.547334108650574,45.717174814368846,46.71508016089803,0.42491060615320614,0.0,1.0,0.0
low_density,RQD_borehole_hudson,RQD_face_scanline,24,23.139146042253667,99.9585357100746,-76.81938966782093,76.81938966782093,86.68725820176097,100.0,-0.3708162858660741,0.0,1.0,0.0
mid_density,RQD_borehole_hudson,RQD_face_scanline,25,87.03920715250189,99.69397449002864,-12.654767337526755,12.654767337526755,14.15676234823408,11.629649396091892,0.1583672260655823,0.0,1.0,0.0
high_density,RQD_borehole_hudson,RQD_face_scanline,23,58.46206343158538,98.74678444084147,-40.28472100925608,40.28472100925608,42.48184147836085,44.245839982759776,0.4468971625385334,0.0,1.0,0.0
low_density,RQD_borehole_direct,RQD_face_jv,24,22.6719967119467,82.0,-59.3280032880533,59.3280032880533,68.73965211283472,65.5,0.4709359147644244,0.0,1.0,0.0
mid_density,RQD_borehole_direct,RQD_face_jv,25,86.37739338086158,89.92,-3.542606619138429,5.901482174779319,6.8632818107589015,6.2948109078079,0.7203733425472102,0.2,0.8,0.0
high_density,RQD_borehole_direct,RQD_face_jv,23,55.19945033219089,56.17391304347826,-0.9744627112873665,5.6080077479804205,7.186689860688623,4.112343210807467,0.8712559691878956,0.43478260869565216,0.5652173913043478,0.0
low_density,RQD_borehole_hudson,RQD_face_jv,24,23.139146042253667,82.0,-58.860853957746336,58.860853957746336,68.67963983338024,65.5,0.4712212939792324,0.0,1.0,0.0
mid_density,RQD_borehole_hudson,RQD_face_jv,25,87.03920715250189,89.92,-2.8807928474981104,4.573038159666847,5.439479479892082,4.309023833894486,0.8304710189819989,0.28,0.72,0.0
high_density,RQD_borehole_hudson,RQD_face_jv,23,58.46206343158538,56.17391304347826,2.288150388107121,4.60442779118705,5.706445226148647,4.325445734395352,0.928079872588339,0.6956521739130435,0.30434782608695654,0.0
