predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_scanline,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_scanline,35.0,72,1.0,53,0,19,0,0.7361111111111112,0.7361111111111112,,0.2638888888888889,0.2638888888888889
RQD_borehole_direct,RQD_face_scanline,40.0,72,1.0,51,0,21,0,0.7083333333333334,0.7083333333333334,,0.2916666666666667,0.2916666666666667
RQD_borehole_direct,RQD_face_scanline,45.0,72,1.0,50,0,22,0,0.6944444444444444,0.6944444444444444,,0.3055555555555556,0.3055555555555556
RQD_borehole_direct,RQD_face_scanline,50.0,72,1.0,43,0,29,0,0.5972222222222222,0.5972222222222222,,0.4027777777777778,0.4027777777777778
RQD_borehole_direct,RQD_face_scanline,55.0,72,1.0,39,0,33,0,0.5416666666666666,0.5416666666666666,,0.4583333333333333,0.4583333333333333
RQD_borehole_direct,RQD_face_scanline,60.0,72,1.0,37,0,35,0,0.5138888888888888,0.5138888888888888,,0.4861111111111111,0.4861111111111111
RQD_borehole_direct,RQD_face_scanline,65.0,72,1.0,36,0,36,0,0.5,0.5,,0.5,0.5
RQD_borehole_direct,RQD_face_scanline,70.0,72,1.0,36,0,36,0,0.5,0.5,,0.5,0.5
RQD_borehole_direct,RQD_face_scanline,75.0,72,1.0,33,0,39,0,0.4583333333333333,0.4583333333333333,,0.5416666666666666,0.5416666666666666
RQD_borehole_direct,RQD_face_scanline,80.0,72,1.0,27,0,45,0,0.375,0.375,,0.625,0.625
RQD_borehole_direct,RQD_face_scanline,85.0,72,1.0,20,0,52,0,0.2777777777777778,0.2777777777777778,,0.7222222222222222,0.7222222222222222
RQD_borehole_direct,RQD_face_scanline,90.0,72,1.0,15,0,57,0,0.20833333333333334,0.20833333333333334,,0.7916666666666666,0.7916666666666666
RQD_borehole_direct,RQD_face_scanline,95.0,72,1.0,3,0,69,0,0.041666666666666664,0.041666666666666664,,0.9583333333333334,0.9583333333333334
RQD_borehole_direct,RQD_face_scanline,100.0,72,0.4861111111111111,0,0,35,37,0.5138888888888888,0.5,0.0,1.0,0.4861111111111111
RQD_borehole_direct,RQD_face_jv,10.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,15.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,20.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,25.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,30.0,72,1.0,54,0,18,0,0.75,0.75,,0.25,0.25
RQD_borehole_direct,RQD_face_jv,35.0,72,1.0,53,0,19,0,0.7361111111111112,0.7361111111111112,,0.2638888888888889,0.2638888888888889
RQD_borehole_direct,RQD_face_jv,40.0,72,1.0,51,0,21,0,0.7083333333333334,0.7083333333333334,,0.2916666666666667,0.2916666666666667
RQD_borehole_direct,RQD_face_jv,45.0,72,1.0,50,0,22,0,0.6944444444444444,0.6944444444444444,,0.3055555555555556,0.3055555555555556
RQD_borehole_direct,RQD_face_jv,50.0,72,0.6666666666666666,36,7,12,17,0.7361111111111112,0.7291666666666667,0.2916666666666667,0.25,1.1388888888888888
RQD_borehole_direct,RQD_face_jv,55.0,72,0.6666666666666666,36,3,12,21,0.7916666666666666,0.8125,0.125,0.25,0.5833333333333334
RQD_borehole_direct,RQD_face_jv,60.0,72,0.6666666666666666,36,1,12,23,0.8194444444444444,0.8541666666666667,0.041666666666666664,0.25,0.3055555555555556
RQD_borehole_direct,RQD_face_jv,65.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_direct,RQD_face_jv,70.0,72,0.6666666666666666,36,0,12,24,0.8333333333333334,0.875,0.0,0.25,0.16666666666666666
RQD_borehole_direct,RQD_face_jv,75.0,72,0.6666666666666666,33,0,15,24,0.7916666666666666,0.84375,0.0,0.3125,0.20833333333333334
RQD_borehole_direct,RQD_face_jv,80.0,72,0.6666666666666666,27,0,21,24,0.7083333333333334,0.78125,0.0,0.4375,0.2916666666666667
