orientation_gap_regime,predictor,target,n,pred_mean,target_mean,bias,mae,rmse,median_abs_error,corr,overestimation_rate,underestimation_rate,equal_rate
low_gap,RQD_borehole_direct,RQD_face_scanline,160,99.19097494831213,99.7916095254462,-0.6006345771340815,0.9567750635299053,1.5029359140639669,0.689199894093889,-0.1647608771526657,0.1125,0.54375,0.34375
mid_gap,RQD_borehole_direct,RQD_face_scanline,160,99.34521237240754,99.39329556896644,-0.04808319655889744,1.0094992287487548,1.574599990526499,0.672413845247263,-0.1331396681055351,0.28125,0.43125,0.2875
high_gap,RQD_borehole_direct,RQD_face_scanline,160,99.89856834659892,99.65320812621442,0.2453602203845092,0.4011037171236739,0.8448240985824934,0.0,0.08031232063310545,0.28125,0.06875,0.65
low_gap,RQD_borehole_hudson,RQD_face_scanline,160,99.52962571696844,99.7916095254462,-0.26198380847777064,0.6238803115082584,0.9171332660352072,0.3840110946758557,-0.18281516462756026,0.13125,0.84375,0.025
mid_gap,RQD_borehole_hudson,RQD_face_scanline,160,99.63626330945263,99.39329556896644,0.24296774048618044,0.7958767812209253,1.3345833954538067,0.40096981883256433,-0.14908107097791962,0.33125,0.5625,0.10625
high_gap,RQD_borehole_hudson,RQD_face_scanline,160,99.93674633821468,99.65320812621442,0.28353821200025486,0.37234707492127006,0.8267134791417107,0.0,-0.036494827643700066,0.275,0.2125,0.5125
low_gap,RQD_borehole_direct,RQD_face_jv,160,99.19097494831213,100.0,-0.8090250516878715,0.8090250516878715,1.3918399082986292,0.23141957700043747,,0.0,0.5625,0.4375
mid_gap,RQD_borehole_direct,RQD_face_jv,160,99.34521237240754,100.0,-0.6547876275924549,0.6547876275924549,1.0939901981395348,0.09085084134273558,,0.0,0.525,0.475
high_gap,RQD_borehole_direct,RQD_face_jv,160,99.89856834659892,100.0,-0.10143165340107405,0.10143165340107405,0.37427753198980995,0.0,,0.0,0.09375,0.90625
low_gap,RQD_borehole_hudson,RQD_face_jv,160,99.52962571696844,100.0,-0.47037428303156065,0.47037428303156065,0.7012953412808888,0.25032994723460433,,0.0,0.975,0.025
mid_gap,RQD_borehole_hudson,RQD_face_jv,160,99.63626330945263,100.0,-0.363736690547377,0.363736690547377,0.533939661421601,0.2254258341982549,,0.0,0.89375,0.10625
high_gap,RQD_borehole_hudson,RQD_face_jv,160,99.93674633821468,100.0,-0.0632536617853284,0.0632536617853284,0.17536474384106152,0.0,,0.0,0.2875,0.7125
