predictor,target,threshold,n,prior_target_good_rate,TP,FP_false_safe,FN_false_alarm,TN,accuracy,balanced_accuracy,false_safe_rate,false_alarm_rate,expected_cost
RQD_borehole_direct,RQD_face_scanline,10.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,15.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,20.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,25.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,30.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,35.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,40.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,45.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,50.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,55.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,60.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,65.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,70.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,75.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,80.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,85.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,90.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_scanline,95.0,480,0.9958333333333333,476,2,2,0,0.9916666666666667,0.497907949790795,1.0,0.0041841004184100415,0.04583333333333333
RQD_borehole_direct,RQD_face_scanline,100.0,480,0.7270833333333333,205,86,144,45,0.5208333333333334,0.46545200026247296,0.6564885496183206,0.41260744985673353,2.091666666666667
RQD_borehole_direct,RQD_face_jv,10.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,15.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,20.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,25.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,30.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,35.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,40.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,45.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,50.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,55.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,60.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,65.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,70.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,75.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,80.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,85.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,90.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_jv,95.0,480,1.0,478,0,2,0,0.9958333333333333,0.9958333333333333,,0.004166666666666667,0.004166666666666667
RQD_borehole_direct,RQD_face_jv,100.0,480,1.0,291,0,189,0,0.60625,0.60625,,0.39375,0.39375
RQD_borehole_direct,RQD_face_conservative,10.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,15.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,20.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,25.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,30.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,35.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,40.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,45.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,50.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,55.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
RQD_borehole_direct,RQD_face_conservative,60.0,480,1.0,480,0,0,0,1.0,1.0,,0.0,0.0
