case_name,n,ref_threshold,bh_threshold,accuracy_q,accuracy_baseline,accuracy_uplift,sensitivity,specificity,fp,fn,objective,mcnemar_p,discordant_b,discordant_c
scenario_03_sparse_large,60,16.66666666666666,16.66666666666666,0.85,0.8333333333333334,0.016666666666666607,1.0,0.1,9,0,0.37,1.0,1,0
scenario_05_orthogonal_two_sets,60,26.181472330721622,27.682009967658473,0.45,0.7,-0.24999999999999994,0.35714285714285715,0.6666666666666666,6,27,0.5738095238095238,0.023702702470473014,12,27
scenario_05_orthogonal_two_sets,60,26.337373665089117,27.852115027142485,0.5333333333333333,0.6,-0.06666666666666665,0.3888888888888889,0.75,6,22,0.6416666666666666,0.6358280026288412,18,22
scenario_05_orthogonal_two_sets,60,26.472415821750012,28.742629300928343,0.5333333333333333,0.5,0.033333333333333326,0.23333333333333334,0.8333333333333334,5,23,0.6533333333333333,0.8854334972865135,25,23
scenario_05_orthogonal_two_sets,60,26.687243601211982,28.10328737153687,0.65,0.6,0.050000000000000044,0.375,0.8333333333333334,6,15,0.6958333333333333,0.6072387695312499,9,6
scenario_05_orthogonal_two_sets,60,26.90938197092105,28.040054144896803,0.7166666666666667,0.7,0.01666666666666672,0.5,0.8095238095238095,8,9,0.7166666666666667,1.0,9,8
scenario_06_layered_density,60,6.536682864992359,7.119812887108303,0.4,0.7,-0.29999999999999993,0.21428571428571427,0.8333333333333334,3,33,0.6476190476190476,0.01328328156224501,15,33
scenario_06_layered_density,60,6.546782013731215,7.119812887108303,0.4,0.6,-0.19999999999999996,0.16666666666666666,0.75,6,30,0.575,0.11140289106101878,18,30
scenario_06_layered_density,60,6.580326493927014,7.119812887108303,0.4666666666666667,0.5,-0.033333333333333326,0.16666666666666666,0.7666666666666667,7,25,0.5866666666666667,0.8854334972865135,23,25
scenario_06_layered_density,60,6.59296434239039,7.119812887108303,0.5333333333333333,0.6,-0.06666666666666665,0.16666666666666666,0.7777777777777778,8,20,0.5944444444444444,0.3876953125,4,8
scenario_06_layered_density,60,6.626762918662521,7.119812887108303,0.6,0.7,-0.09999999999999998,0.16666666666666666,0.7857142857142857,9,15,0.6,0.14599609375,3,9
scenario_07_isotropic,60,33.605760236639426,36.60590545948523,0.4,0.7,-0.29999999999999993,0.21428571428571427,0.8333333333333334,3,33,0.6476190476190476,0.01328328156224501,15,33
scenario_07_isotropic,60,33.887146111360806,35.07885514351275,0.5833333333333334,0.6,-0.016666666666666607,0.4722222222222222,0.75,6,19,0.6666666666666665,1.0,18,19
scenario_07_isotropic,60,34.05397947397154,35.07885514351275,0.65,0.5,0.15000000000000002,0.5333333333333333,0.7666666666666667,7,14,0.6966666666666667,0.18774155899882317,23,14
scenario_07_isotropic,60,34.24352382624234,36.42049897934359,0.65,0.6,0.050000000000000044,0.375,0.8333333333333334,6,15,0.6958333333333333,0.6072387695312499,9,6
scenario_07_isotropic,60,34.5116050403412,36.42049897934359,0.75,0.7,0.050000000000000044,0.5,0.8571428571428571,6,9,0.75,0.6072387695312499,9,6
scenario_10_fieldlike,60,14.87618613213066,15.591262847022383,0.36666666666666664,0.7,-0.3333333333333333,0.19047619047619047,0.7777777777777778,4,34,0.6015873015873016,0.00551520148550111,14,34
scenario_10_fieldlike,60,14.929492616537377,15.591262847022383,0.4,0.6,-0.19999999999999996,0.16666666666666666,0.75,6,30,0.575,0.11140289106101878,18,30
scenario_10_fieldlike,60,14.963499176457365,15.591262847022383,0.5,0.5,0.0,0.2,0.8,6,24,0.6199999999999999,1.0,24,24
scenario_10_fieldlike,60,14.97915924379401,15.591262847022383,0.6,0.6,0.0,0.25,0.8333333333333334,6,18,0.6583333333333333,1.0,6,6
scenario_10_fieldlike,60,14.994481629268908,15.591262847022383,0.6333333333333333,0.7,-0.06666666666666665,0.2222222222222222,0.8095238095238095,8,14,0.6333333333333333,0.3876953125,4,8
