case_name,seed,face_x_idx,face_x_coord,Q_face_mean,Q_face_median,Qp_face_mean,Qp_face_median,Q_borehole_mean,Qp_borehole_mean,Q_ratio,Q_difference,Q_log_ratio,Qp_ratio,Qp_difference,face_joints_count,face_rqd_practical,face_rqd_mean,face_rqd_min_dir,RQD_borehole_direct,RQD_borehole_hudson,lambda_borehole,borehole_n_intersections_total,RQD_face_scanline,lambda_face_scanline,RQD_face_scanline_hudson,face_scanline_n_intersections,Jv_face,Jv_method,RQD_face_jv,RQD_face_conservative,RQD_diff_bh_direct_minus_face_scanline,RQD_diff_bh_hudson_minus_face_scanline,RQD_diff_bh_direct_minus_face_jv,RQD_diff_bh_hudson_minus_face_jv,RQD_absdiff_bh_direct_face_scanline,RQD_absdiff_bh_hudson_face_scanline,RQD_absdiff_bh_direct_face_jv,RQD_absdiff_bh_hudson_face_jv,face_joint_count,bh_union_fracture_count,common_union_fracture_count,missed_union_fracture_count,miss_ratio_union,detection_ratio_union,face_area,window_length,face_fracture_density,bh_fracture_frequency_mean,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,face_orientation_bias,bh_union_orientation_bias,orientation_bias_gap,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,face_RQD_mean,face_RQD_median,face_RQD_std,face_RQD_min,face_RQD_max,face_RQD_n_points,face_Jn_mean,face_Jn_median,face_Jn_std,face_Jn_min,face_Jn_max,face_Jn_n_points,face_Jr_mean,face_Jr_median,face_Jr_std,face_Jr_min,face_Jr_max,face_Jr_n_points,face_Ja_mean,face_Ja_median,face_Ja_std,face_Ja_min,face_Ja_max,face_Ja_n_points,face_Jw_mean,face_Jw_median,face_Jw_std,face_Jw_min,face_Jw_max,face_Jw_n_points,face_SRF_mean,face_SRF_median,face_SRF_std,face_SRF_min,face_SRF_max,face_SRF_n_points,face_Q_mean,face_Q_median,face_Q_std,face_Q_min,face_Q_max,face_Q_n_points,face_Qprime_mean,face_Qprime_median,face_Qprime_std,face_Qprime_min,face_Qprime_max,face_Qprime_n_points
scenario_03_sparse_large,40,10,10.5,30.125538016090076,27.862158169501466,33.3405242320754,33.34052423207541,12.664448741131633,16.66666666666666,0.4203891307888855,-17.461089274958443,-0.37634852123426366,0.49989215978291124,-16.673857565408742,1,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1.0,0.0,78.53981633974483,7.0,0.012732395447351627,0.0,0.0,0.0,0.012732395447351627,0.32303570434237505,0.0,0.32303570434237505,0,0,0,0,0,0,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.88509875414665,1.88509875414665,0.0,1.88509875414665,1.88509875414665,81,2.827038262843333,2.827038262843333,0.0,2.827038262843333,2.827038262843333,81,0.8035971553723992,0.8076560283621431,0.10066257195430728,0.53260119501172,1.0,81,0.9697544385533005,0.9383394783297043,0.2766163932638677,0.5,1.603020648014794,81,30.125538016090076,27.862158169501466,10.037987566241052,14.078170307723086,55.02128931406087,81,33.3405242320754,33.34052423207541,7.105427357601002e-15,33.34052423207541,33.34052423207541,81
scenario_03_sparse_large,40,20,20.5,13.23158950130426,12.210437701103539,16.66666666666666,16.666666666666664,13.604847972119325,16.66666666666666,1.0282096471310778,0.373258470815065,0.012081674298704437,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.799889545963395,0.7990959797484326,0.08922012665462013,0.6362147928205298,1.0,81,1.1014069007716158,1.1163084583400518,0.29939186823266106,0.5,1.831943449738366,81,13.23158950130426,12.210437701103539,4.719329005333707,6.7939315720787405,28.268071225867192,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,40,30,30.5,14.606573793853773,13.825778370534998,16.66666666666666,16.666666666666664,19.68727231704963,16.66666666666666,1.347836432752884,5.080698523195856,0.12963719141073193,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.800257429823972,0.7905785405298176,0.10106852332611733,0.5390120919419402,1.0,81,0.9987436365213074,0.9967042761718597,0.27448000500424025,0.5,1.6629978368886775,81,14.606573793853773,13.825778370534998,5.185623112449858,6.194604436348467,32.37044301954947,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,41,10,10.5,14.416198258762442,13.360340363767376,16.66666666666666,16.666666666666664,14.698751151819101,16.66666666666666,1.01959968141288,0.28255289305665876,0.00842969109631797,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.7978581082223815,0.7943015153875855,0.09928950078230864,0.5852307861527136,1.0,81,1.0090870943838894,0.9795592398973204,0.30192537640846345,0.5,1.910320876119753,81,14.416198258762442,13.360340363767376,4.944749428054958,7.525980862949416,33.33333333333333,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,41,20,20.5,10.729481641816587,10.186654751207765,12.907399981206952,12.907399981206952,15.18220200261759,16.66666666666666,1.4149986466678106,4.452720360801003,0.15075602449282988,1.291248949512153,3.7592666854597088,1,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1.0,0.0,78.53981633974483,7.0,0.012732395447351627,0.0,0.0,0.0,0.012732395447351627,0.9233089800511894,0.0,0.9233089800511894,0,1,1,0,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,0.8508092904089808,0.8508092904089808,0.0,0.8508092904089808,0.8508092904089808,81,3.295819807427332,3.295819807427332,0.0,3.295819807427332,3.295819807427332,81,0.8089172847331659,0.8130443701500136,0.09896632926536905,0.5198663106279062,1.0,81,1.0427542653117048,1.0020198540577556,0.25699482971596643,0.5,1.6146966926613922,81,10.729481641816587,10.186654751207765,3.3706956255171323,5.338307474631387,21.74653249508537,81,12.907399981206952,12.907399981206952,0.0,12.907399981206952,12.907399981206952,81
scenario_03_sparse_large,41,30,30.5,15.344839215563736,13.74575125428435,16.66666666666666,16.666666666666664,10.731236742092458,16.66666666666666,0.6993384936355761,-4.613602473471278,-0.15531256626366674,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.801436147906869,0.8010738879103414,0.09968544949654078,0.5777008709041266,1.0,81,0.9647394838910653,0.922854689662873,0.29718692631239385,0.5,1.8443491796109208,81,15.344839215563736,13.74575125428435,5.718192025501397,6.893771220913127,32.99839097352883,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,42,10,10.5,14.879363536087354,14.016563625776124,16.66666666666666,16.666666666666664,13.579546174978537,16.66666666666666,0.9126429461880993,-1.2998173611088166,-0.03969909851134501,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.8201517560809011,0.8226067003048976,0.08698822438873212,0.5751736541013271,1.0,81,0.9877160372876669,0.937196033969026,0.2563878424717291,0.5,1.5404515273190675,81,14.879363536087354,14.016563625776124,4.5590094013541735,8.333819256644585,29.298844330894838,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,42,20,20.5,15.75389359515431,13.990495851074954,16.66666666666666,16.666666666666664,13.296582955629358,16.66666666666666,0.8440188373316938,-2.4573106395249518,-0.07364786041473126,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.7988857674090312,0.8117037190935028,0.1011720173796645,0.5561134050219071,1.0,81,0.9683511330949067,0.9370708560021371,0.3338856479833927,0.5,1.7820738996420622,81,15.75389359515431,13.990495851074954,6.346016580948595,5.200994612079078,31.44666493740858,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,42,30,30.5,15.213930556263227,14.003784099725964,16.66666666666666,16.666666666666664,11.379705359039528,16.66666666666666,0.7479793152042991,-3.8342251972236987,-0.12611041205110562,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.816729700761937,0.8169461992309159,0.10196021735524873,0.5895180825587304,1.0,81,0.9919010136788373,0.9891668958302567,0.2864226965439688,0.5,1.61392226941115,81,15.213930556263227,14.003784099725964,5.776938707946305,7.516166787999816,33.33333333333333,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
scenario_03_sparse_large,43,10,10.5,14.670487631941667,13.260408071848259,16.66666666666666,16.666666666666664,14.57297438602984,16.66666666666666,0.993353101249374,-0.09751324591182708,-0.002896348014448824,1.0,0.0,0,100.0,100.0,100.0,100.0,100.0,0.0,0,100.0,0.0,100.0,0,0.05,P32_derived_Jv_proxy,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,78.53981633974483,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,2.0,2.0,0.0,2.0,2.0,81,1.0,1.0,0.0,1.0,1.0,81,3.0,3.0,0.0,3.0,3.0,81,0.8005996334473018,0.8083399756866172,0.09094354034905701,0.6028684794019811,1.0,81,1.0111272453389775,1.0189493802142906,0.3091718189269834,0.5,1.9021458853895916,81,14.670487631941667,13.260408071848259,5.498017047706533,6.828949535057145,30.759477872801053,81,16.66666666666666,16.666666666666664,3.552713678800501e-15,16.666666666666664,16.666666666666664,81
