case_name,seed,face_x_idx,face_x_coord,Q_face_mean,Q_face_median,Qp_face_mean,Qp_face_median,Q_borehole_mean,Qp_borehole_mean,Q_ratio,Q_difference,Q_log_ratio,Qp_ratio,Qp_difference,face_joints_count,face_rqd_practical,face_rqd_mean,face_rqd_min_dir,RQD_borehole_direct,RQD_borehole_hudson,lambda_borehole,borehole_n_intersections_total,RQD_face_scanline,lambda_face_scanline,RQD_face_scanline_hudson,face_scanline_n_intersections,Jv_face,Jv_method,RQD_face_jv,RQD_face_conservative,RQD_diff_bh_direct_minus_face_scanline,RQD_diff_bh_hudson_minus_face_scanline,RQD_diff_bh_direct_minus_face_jv,RQD_diff_bh_hudson_minus_face_jv,RQD_absdiff_bh_direct_face_scanline,RQD_absdiff_bh_hudson_face_scanline,RQD_absdiff_bh_direct_face_jv,RQD_absdiff_bh_hudson_face_jv,face_joint_count,bh_union_fracture_count,common_union_fracture_count,missed_union_fracture_count,miss_ratio_union,detection_ratio_union,face_area,window_length,face_fracture_density,bh_fracture_frequency_mean,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,face_orientation_bias,bh_union_orientation_bias,orientation_bias_gap,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,face_RQD_mean,face_RQD_median,face_RQD_std,face_RQD_min,face_RQD_max,face_RQD_n_points,face_Jn_mean,face_Jn_median,face_Jn_std,face_Jn_min,face_Jn_max,face_Jn_n_points,face_Jr_mean,face_Jr_median,face_Jr_std,face_Jr_min,face_Jr_max,face_Jr_n_points,face_Ja_mean,face_Ja_median,face_Ja_std,face_Ja_min,face_Ja_max,face_Ja_n_points,face_Jw_mean,face_Jw_median,face_Jw_std,face_Jw_min,face_Jw_max,face_Jw_n_points,face_SRF_mean,face_SRF_median,face_SRF_std,face_SRF_min,face_SRF_max,face_SRF_n_points,face_Q_mean,face_Q_median,face_Q_std,face_Q_min,face_Q_max,face_Q_n_points,face_Qprime_mean,face_Qprime_median,face_Qprime_std,face_Qprime_min,face_Qprime_max,face_Qprime_n_points
granite_dense_p32_10,40,10,10.5,9.452136104505225,8.74198200353205,10.460864555143058,10.460864555143056,6.635079930187162,8.769802742763932,0.7019661859317331,-2.817056174318063,-0.15368380755246203,0.8383439721004973,-1.6910618123791252,819,87.59682720605818,87.59682720605818,87.59682720605818,80.55242278780085,86.35212061296076,6.285714285714286,44,87.59682720605818,5.5,89.42722060897543,55,10.0,P32_derived_Jv_proxy,82.0,82.0,-7.044404418257329,-1.244706593097419,-1.4475772121991497,4.352120612960761,7.044404418257329,1.244706593097419,1.4475772121991497,4.352120612960761,819,44,10,809,0.9877899877899878,0.01221001221001221,78.53981633974483,7.0,10.427831871380983,6.285714285714286,6.285714285714286,0.12732395447351627,10.300507916907467,0.3493824431707443,0.26347077370096195,0.08591166946978235,0,1,1,1,1,1,87.59682720605818,87.59682720605818,0.0,87.59682720605818,87.59682720605818,81,4.0,4.0,0.0,4.0,4.0,81,1.1964019652946918,1.1964019652946918,0.294669242017125,0.5,2.1380940871581315,81,2.504597389404645,2.504597389404645,0.5250175680134156,0.9826765137142273,3.8650321866094135,81,0.8035971553723992,0.8076560283621431,0.10066257195430728,0.53260119501172,1.0,81,0.9697544385533005,0.9383394783297043,0.2766163932638677,0.5,1.603020648014794,81,9.452136104505225,8.74198200353205,3.1495014177262446,4.4171420865556215,17.263383477635923,81,10.460864555143058,10.460864555143056,1.7763568394002505e-15,10.460864555143056,10.460864555143056,81
granite_dense_p32_10,40,20,20.5,8.782623442489731,8.104821902629425,11.06269638733881,11.06269638733881,7.517323430571617,9.194265831974588,0.8559314286666693,-1.2653000119181144,-0.06756102661319818,0.8311053209864252,-1.8684305553642222,753,89.71795866620717,89.71795866620717,89.71795866620717,80.562997808084,86.15736751293765,6.428571428571429,45,89.71795866620717,5.0,90.97959895689502,50,10.0,P32_derived_Jv_proxy,82.0,82.0,-9.154960858123161,-3.560591153269513,-1.4370021919159939,4.157367512937654,9.154960858123161,3.560591153269513,1.4370021919159939,4.157367512937654,753,45,14,739,0.9814077025232404,0.01859229747675963,78.53981633974483,7.0,9.587493771855774,6.428571428571429,6.428571428571429,0.17825353626292278,9.409240235592852,0.366748374224084,0.26487238926353107,0.10187598496055295,1,1,1,1,1,1,89.71795866620717,89.71795866620717,0.0,89.71795866620717,89.71795866620717,81,4.0,4.0,0.0,4.0,4.0,81,1.2191114165424553,1.2191114165424553,0.2996069094613288,0.5,2.2755333499413024,81,2.471734373096365,2.471734373096365,0.5015135385670861,0.9610442203674676,4.028216567647756,81,0.799889545963395,0.7990959797484326,0.08922012665462013,0.6362147928205298,1.0,81,1.1014069007716158,1.1163084583400518,0.29939186823266106,0.5,1.831943449738366,81,8.782623442489731,8.104821902629425,3.1325102362781077,4.509552135495754,18.763265365646234,81,11.06269638733881,11.06269638733881,0.0,11.06269638733881,11.06269638733881,81
granite_dense_p32_10,40,30,30.5,9.47849006606987,8.971816716932105,10.815324432959855,10.815324432959855,12.812256678807268,10.844602049211094,1.351719165130665,3.3337666127373975,0.13088647141108678,1.0027070492829615,0.029277616251238925,756,89.78576845223216,89.78576845223216,89.78576845223216,89.06231152827645,89.53165334116021,5.285714285714286,37,89.78576845223216,5.2,90.36712329146954,52,10.0,P32_derived_Jv_proxy,82.0,82.0,-0.7234569239557089,-0.25411511107195395,7.062311528276453,7.531653341160208,0.7234569239557089,0.25411511107195395,7.062311528276453,7.531653341160208,756,37,15,741,0.9801587301587301,0.01984126984126984,78.53981633974483,7.0,9.62569095819783,5.285714285714286,5.285714285714286,0.1909859317102744,9.434705026487556,0.349131289744795,0.2893299830765159,0.0598013066682791,0,1,1,1,1,1,89.78576845223216,89.78576845223216,0.0,89.78576845223216,89.78576845223216,81,4.0,4.0,0.0,4.0,4.0,81,1.2149374005654585,1.2149374005654585,0.29232507643992617,0.5,2.090472342773361,81,2.5215167794387146,2.5215167794387146,0.48248109612799284,0.75,4.358531129085943,81,0.800257429823972,0.7905785405298176,0.10106852332611733,0.5390120919419402,1.0,81,0.9987436365213074,0.9967042761718597,0.27448000500424025,0.5,1.6629978368886775,81,9.47849006606987,8.971816716932105,3.3650517808920175,4.019799402777665,21.005810597704095,81,10.815324432959855,10.815324432959855,0.0,10.815324432959855,10.815324432959855,81
granite_dense_p32_10,41,10,10.5,9.828818479842683,9.108945223097795,11.363165127889545,11.363165127889545,10.326012645250367,11.857657657575313,1.0505853441517259,0.49719416540768435,0.021431338025790447,1.0435171472138598,0.4944925296857683,735,93.64995545178118,93.64995545178118,93.64995545178118,92.00491714775218,93.18815435606302,4.0,28,93.64995545178118,3.6,94.88398034566023,36,10.0,P32_derived_Jv_proxy,82.0,82.0,-1.6450383040290006,-0.4618010957181582,10.004917147752181,11.188154356063023,1.6450383040290006,0.4618010957181582,10.004917147752181,11.188154356063023,735,28,10,725,0.9863945578231292,0.013605442176870748,78.53981633974483,7.0,9.358310653803446,4.0,4.0,0.12732395447351627,9.230986699329929,0.3568037472636423,0.24504535012282924,0.11175839714081304,1,1,1,1,1,1,93.64995545178118,93.64995545178118,0.0,93.64995545178118,93.64995545178118,81,4.0,4.0,0.0,4.0,4.0,81,1.2168192146884542,1.2168192146884542,0.2939280031055062,0.5,2.2583305074048714,81,2.507115402396905,2.507115402396905,0.516594092097908,0.8875309828553053,4.043318934052503,81,0.7978581082223815,0.7943015153875855,0.09928950078230864,0.5852307861527136,1.0,81,1.0090870943838894,0.9795592398973204,0.30192537640846345,0.5,1.910320876119753,81,9.828818479842683,9.108945223097795,3.3712802560215533,5.131137797701852,22.72633025577909,81,11.363165127889545,11.363165127889545,0.0,11.363165127889545,11.363165127889545,81
granite_dense_p32_10,41,20,20.5,9.13690337657012,8.674648347364712,10.991553031919237,10.991553031919237,9.290569111979426,10.154738749706938,1.016818141669677,0.15366573540930695,0.007243286126545123,0.9238675117354019,-0.8368142822122984,726,90.75971912576799,90.75971912576799,90.75971912576799,90.58066682530466,93.55399130355555,4.0,28,90.75971912576799,6.1,87.47948992099447,61,10.0,P32_derived_Jv_proxy,82.0,82.0,-0.17905230046332576,2.794272177787562,8.580666825304661,11.553991303555549,0.17905230046332576,2.794272177787562,8.580666825304661,11.553991303555549,726,28,10,716,0.9862258953168044,0.013774104683195593,78.53981633974483,7.0,9.243719094777282,4.0,4.0,0.12732395447351627,9.116395140303764,0.35051964127026725,0.2659981577187732,0.08452148355149403,1,1,1,1,1,1,90.75971912576799,90.75971912576799,0.0,90.75971912576799,90.75971912576799,81,4.0,4.0,0.0,4.0,4.0,81,1.2193315828994453,1.2193315828994453,0.2983672403345379,0.5,2.1252584492767874,81,2.517073603333384,2.517073603333384,0.5002382306793234,1.0543067111791806,4.211497312982367,81,0.8089172847331659,0.8130443701500136,0.09896632926536905,0.5198663106279062,1.0,81,1.0427542653117048,1.0020198540577556,0.25699482971596643,0.5,1.6146966926613922,81,9.13690337657012,8.674648347364712,2.8703828638047155,4.54594184681143,18.518692031556196,81,10.991553031919237,10.991553031919237,0.0,10.991553031919237,10.991553031919237,81
granite_dense_p32_10,41,30,30.5,9.665688654041158,8.65842581165991,10.49830556303862,10.49830556303862,7.402490090399825,11.238719943565815,0.765852321066114,-2.2631985636413336,-0.11585496708978982,1.0705270365852153,0.740414380527195,781,87.92453176750685,87.92453176750685,87.92453176750685,88.11949912784009,88.6908106915287,5.428571428571429,38,87.92453176750685,6.0,87.80986177504423,60,10.0,P32_derived_Jv_proxy,82.0,82.0,0.19496736033323714,0.7662789240218473,6.119499127840086,6.6908106915286965,0.19496736033323714,0.7662789240218473,6.119499127840086,6.6908106915286965,781,38,16,765,0.9795134443021767,0.020486555697823303,78.53981633974483,7.0,9.94400084438162,5.428571428571429,5.428571428571429,0.20371832715762603,9.740282517223994,0.35628364999487894,0.322047817619595,0.03423583237528394,0,1,1,1,1,1,87.92453176750685,87.92453176750685,0.0,87.92453176750685,87.92453176750685,81,4.0,4.0,0.0,4.0,4.0,81,1.1989698911339186,1.1989698911339186,0.2979522565796218,0.5,2.137806778431624,81,2.510378118837496,2.510378118837496,0.5099716896623794,0.75,4.077948202017635,81,0.801436147906869,0.8010738879103414,0.09968544949654078,0.5777008709041266,1.0,81,0.9647394838910653,0.922854689662873,0.29718692631239385,0.5,1.8443491796109208,81,9.665688654041158,8.65842581165991,3.601879629110664,4.34237500552967,20.78563149172327,81,10.49830556303862,10.49830556303862,0.0,10.49830556303862,10.49830556303862,81
granite_dense_p32_10,42,10,10.5,8.862325319579893,8.348431464352993,9.926864252947643,9.926864252947643,9.49180879245469,10.903021617358132,1.0710291543331243,0.6294834728747958,0.029801292861424744,1.098334916196787,0.9761573644104882,785,83.95819554931421,83.95819554931421,83.95819554931421,86.54003602493064,89.43955315444703,5.285714285714286,37,83.95819554931421,7.0,84.41950164453962,70,10.0,P32_derived_Jv_proxy,82.0,82.0,2.5818404756164313,5.481357605132814,4.540036024930643,7.439553154447026,2.5818404756164313,5.481357605132814,4.540036024930643,7.439553154447026,785,37,7,778,0.9910828025477707,0.008917197452229299,78.53981633974483,7.0,9.994930426171027,5.285714285714286,5.285714285714286,0.08912676813146139,9.905803658039565,0.3456877143413656,0.256281912411637,0.08940580192972858,1,1,1,1,1,1,83.95819554931421,83.95819554931421,0.0,83.95819554931421,83.95819554931421,81,4.0,4.0,0.0,4.0,4.0,81,1.1762743194247778,1.1762743194247778,0.30160495109473096,0.5,2.0930318297316495,81,2.4871365925190627,2.4871365925190627,0.4839936733063019,0.8857102003019717,4.084295806812832,81,0.8201517560809011,0.8226067003048976,0.08698822438873212,0.5751736541013271,1.0,81,0.9877160372876669,0.937196033969026,0.2563878424717291,0.5,1.5404515273190675,81,8.862325319579893,8.348431464352993,2.7154000473092994,4.963721548158711,17.450739026462262,81,9.926864252947643,9.926864252947643,0.0,9.926864252947643,9.926864252947643,81
granite_dense_p32_10,42,20,20.5,10.638195905651946,9.447419127340392,11.254567896074606,11.254567896074608,8.793514369181297,10.963789375137752,0.8265982735389755,-1.8446815364706488,-0.08270550613546124,0.9741635108853648,-0.2907785209368541,721,92.02182049181265,92.02182049181265,92.02182049181265,89.88979288144479,91.77608382627123,4.571428571428571,32,92.02182049181265,4.9,91.28133273347798,49,10.0,P32_derived_Jv_proxy,82.0,82.0,-2.1320276103678566,-0.24573666554141482,7.889792881444791,9.776083826271233,2.1320276103678566,0.24573666554141482,7.889792881444791,9.776083826271233,721,32,5,716,0.9930651872399445,0.006934812760055479,78.53981633974483,7.0,9.180057117540523,4.571428571428571,4.571428571428571,0.06366197723675814,9.116395140303764,0.34945504135365535,0.321911061390431,0.02754397996322433,1,1,1,1,1,1,92.02182049181265,92.02182049181265,0.0,92.02182049181265,92.02182049181265,81,4.0,4.0,0.0,4.0,4.0,81,1.2054996212893425,1.2054996212893425,0.29758721475571287,0.5,2.1243261496656594,81,2.4641610139454397,2.4641610139454397,0.49577438088712905,1.2173868997611303,4.067057670314579,81,0.7988857674090312,0.8117037190935028,0.1011720173796645,0.5561134050219071,1.0,81,0.9683511330949067,0.9370708560021371,0.3338856479833927,0.5,1.7820738996420622,81,10.638195905651946,9.447419127340392,4.285300468794072,3.5120968193257327,21.235117538590423,81,11.254567896074606,11.254567896074608,1.7763568394002505e-15,11.254567896074608,11.254567896074608,81
granite_dense_p32_10,42,30,30.5,10.305307143413586,9.485602407874609,11.289332393211524,11.289332393211524,7.898031807481153,11.312264994225286,0.7664043096987176,-2.4072753359324333,-0.11554206176731308,1.002031351386868,0.022932601013762266,730,92.23487798830895,92.23487798830895,92.23487798830895,88.38369514928561,89.10998736547377,5.428571428571429,38,92.23487798830895,4.6,92.16741224401119,46,10.0,P32_derived_Jv_proxy,82.0,82.0,-3.8511828390233376,-3.1248906228351814,6.383695149285614,7.109987365473771,3.8511828390233376,3.1248906228351814,6.383695149285614,7.109987365473771,730,38,11,719,0.9849315068493151,0.015068493150684932,78.53981633974483,7.0,9.294648676566688,5.428571428571429,5.428571428571429,0.1400563499208679,9.154592326645819,0.33989932946098367,0.34345378501853707,-0.0035544555575534043,0,1,1,1,1,1,92.23487798830895,92.23487798830895,0.0,92.23487798830895,92.23487798830895,81,4.0,4.0,0.0,4.0,4.0,81,1.2192998552998309,1.2192998552998309,0.30938480488293607,0.5,2.1282085456144215,81,2.490447828703495,2.490447828703495,0.49182053341484105,0.7801218646018737,4.115941052356376,81,0.816729700761937,0.8169461992309159,0.10196021735524873,0.5895180825587304,1.0,81,0.9919010136788373,0.9891668958302567,0.2864226965439688,0.5,1.61392226941115,81,10.305307143413586,9.485602407874609,3.913066877352945,5.091150311552816,22.578664786423047,81,11.289332393211524,11.289332393211524,0.0,11.289332393211524,11.289332393211524,81
granite_dense_p32_10,43,10,10.5,9.177642559642427,8.295517404169164,10.426422976857053,10.42642297685705,10.694212109637279,12.156005715665883,1.165246090173939,1.516569549994852,0.06641765439052127,1.1658845744746678,1.7295827388088298,804,87.09218540310518,87.09218540310518,87.09218540310518,95.35458516793882,96.69286965039946,2.7142857142857144,19,87.09218540310518,6.2,87.14699889033727,62,10.0,P32_derived_Jv_proxy,82.0,82.0,8.262399764833646,9.600684247294282,13.354585167938822,14.692869650399459,8.262399764833646,9.600684247294282,13.354585167938822,14.692869650399459,804,19,8,796,0.9900497512437811,0.009950248756218905,78.53981633974483,7.0,10.236845939670708,2.7142857142857144,2.7142857142857144,0.10185916357881301,10.134986776091894,0.3504927488345314,0.24245542718013235,0.10803732165439905,1,1,1,1,1,1,87.09218540310518,87.09218540310518,0.0,87.09218540310518,87.09218540310518,81,4.0,4.0,0.0,4.0,4.0,81,1.1901657585162513,1.1901657585162513,0.30143823017931093,0.5,2.1787275322655524,81,2.4853714723448292,2.4853714723448292,0.49973280266859665,0.9330177397636437,3.9899897149112222,81,0.8005996334473018,0.8083399756866172,0.09094354034905701,0.6028684794019811,1.0,81,1.0111272453389775,1.0189493802142906,0.3091718189269834,0.5,1.9021458853895916,81,9.177642559642427,8.295517404169164,3.4394790764015504,4.272090980407026,19.24267961094594,81,10.426422976857053,10.42642297685705,1.7763568394002505e-15,10.42642297685705,10.42642297685705,81
